Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Conference,Fundraiser,43,376,Office,Sydney,24,1.64,43,Train,397.04,499,Vegetarian,376,15.44,12.41,9390.86
Formation,Product Launch,29,816,Office,London,47,0.7,29,Walking,68.45,459,Non-Vegetarian,816,4.04,2.63,3346.39
Séminaire,Seminar,12,463,Convention Center,Tokyo,9,1.81,12,Bicycle,162.25,346,Vegetarian,463,7.0,28.11,862.46
Seminar,Seminar,30,589,Outdoor,Berlin,10,1.44,30,Car,338.91,100,Mixed,589,9.33,43.52,8911.31
Fundraiser,Seminar,27,1172,Outdoor,London,10,1.38,27,Bus,34.13,37,Mixed,1172,17.69,28.24,3283.93
Conference,Networking Event,15,1185,Coworking Space,Berlin,16,1.96,15,Bus,473.12,377,Vegetarian,1185,6.36,4.02,12735.43
Fundraiser,Team Building,3,319,Office,Tokyo,15,1.37,3,Bicycle,475.09,87,Non-Vegetarian,319,14.94,9.65,1196.51
Networking,Networking Event,7,1798,Hotel,Tokyo,5,1.5,7,Bicycle,114.27,481,Mixed,1798,18.69,14.89,4588.41
Formation,Trade Show,6,1226,Coworking Space,Berlin,20,0.63,6,Walking,45.88,107,Mixed,1226,19.26,36.89,3215.1
Workshop,Team Building,24,70,Hotel,Dubai,35,1.8,24,Walking,18.45,466,Vegetarian,70,6.25,48.09,969.68
Conference,Trade Show,9,60,Hotel,Berlin,24,0.43,9,Walking,115.88,352,Non-Vegetarian,60,9.1,1.72,278.08
Fundraiser,Networking Event,6,1958,Convention Center,Paris,19,1.63,6,Car,430.53,79,Vegan,1958,4.72,3.46,9209.76
Board Meeting,Trade Show,30,818,Outdoor,Sydney,46,1.91,30,Plane,174.58,13,Vegan,818,7.34,19.3,2756.57
Networking Event,Team Building,15,1538,Coworking Space,Tokyo,37,1.5,15,Plane,154.21,496,Mixed,1538,2.15,41.24,23470.07
Networking Event,Conference,30,757,Hotel,London,42,0.62,30,Plane,199.3,97,Mixed,757,10.96,16.74,7171.53
Lancement de Produit,Team Building,30,1101,Office,London,47,0.42,30,Bicycle,245.02,373,Vegan,1101,12.08,47.15,1515.56
Événement de Bienfaisance,Board Meeting,3,1539,Hotel,New York,14,0.32,3,Car,193.29,70,Vegan,1539,18.51,31.18,4486.46
Networking Event,Product Launch,1,386,Convention Center,Berlin,15,0.48,1,Plane,393.43,196,Non-Vegetarian,386,14.3,13.28,20687.83
Team Building,Fundraiser,21,1420,Coworking Space,New York,33,1.75,21,Bus,57.6,123,Non-Vegetarian,1420,9.7,10.93,6042.72
Conference,Conference,30,929,Outdoor,Berlin,36,1.07,30,Bus,472.44,234,Non-Vegetarian,929,19.98,23.42,10549.16
Fundraiser,Seminar,9,1457,Office,New York,31,0.53,9,Plane,424.06,243,Mixed,1457,14.14,48.22,29602.8
Seminar,Fundraiser,5,1928,Outdoor,Dubai,42,1.07,5,Train,15.83,446,Non-Vegetarian,1928,11.29,2.79,7170.92
Seminar,Networking Event,16,807,Convention Center,Berlin,11,1.99,16,Train,44.35,285,Vegan,807,13.89,20.84,1557.17
Board Meeting,Seminar,27,860,Outdoor,Sydney,44,0.19,27,Car,68.55,261,Mixed,860,15.95,7.79,6067.57
Networking,Team Building,36,1153,Office,New York,19,1.03,36,Walking,460.27,423,Vegetarian,1153,16.9,14.12,2143.8
Événement de Bienfaisance,Team Building,33,1370,Hotel,Tokyo,20,0.66,33,Walking,83.56,473,Vegan,1370,15.63,9.59,1638.24
Team Building,Team Building,12,43,Outdoor,Berlin,33,1.16,12,Train,324.43,483,Vegan,43,5.38,28.72,6608.87
Seminar,Product Launch,12,862,Hotel,New York,26,1.22,12,Walking,97.66,449,Mixed,862,17.05,24.38,2428.18
Conférence,Corporate Training,26,878,Coworking Space,Dubai,5,1.1,26,Plane,422.52,208,Vegan,878,12.97,26.28,22999.04
Networking,Board Meeting,7,1475,Coworking Space,New York,15,1.9,7,Plane,424.25,81,Vegan,1475,9.02,30.19,10244.23
Workshop,Team Building,36,219,Convention Center,Dubai,23,1.91,36,Car,363.5,45,Vegan,219,19.01,1.17,4485.17
Product Launch,Fundraiser,10,1407,Coworking Space,Sydney,49,0.95,10,Bicycle,474.51,42,Non-Vegetarian,1407,3.5,25.76,5215.77
Networking Event,Product Launch,45,1868,Office,Sydney,17,1.2,45,Walking,19.02,293,Non-Vegetarian,1868,3.55,35.81,7075.72
Lancement de Produit,Fundraiser,15,1952,Hotel,Dubai,45,0.26,15,Walking,376.9,213,Vegetarian,1952,10.56,36.49,3109.85
Team Building,Product Launch,11,1725,Office,London,13,1.76,11,Walking,214.12,412,Mixed,1725,17.28,39.86,4552.62
Événement de Bienfaisance,Networking Event,22,1016,Hotel,New York,29,0.38,22,Bicycle,40.72,433,Vegetarian,1016,2.59,36.11,1722.62
Team Building,Board Meeting,48,968,Hotel,Sydney,49,0.48,48,Walking,231.33,269,Vegetarian,968,15.3,15.92,2078.92
Seminar,Board Meeting,16,601,Coworking Space,Dubai,25,0.41,16,Bus,357.44,104,Non-Vegetarian,601,2.0,46.44,4512.81
Lancement de Produit,Team Building,9,1842,Office,Tokyo,9,1.61,9,Walking,392.33,283,Vegan,1842,14.65,20.05,1976.61
Fundraiser,Corporate Training,1,1783,Hotel,New York,50,1.65,1,Walking,254.93,215,Mixed,1783,6.43,2.32,4516.25
Fundraiser,Fundraiser,3,177,Hotel,Paris,7,1.28,3,Train,156.45,462,Non-Vegetarian,177,18.35,15.05,3590.94
Board Meeting,Product Launch,43,1035,Hotel,New York,48,1.96,43,Bicycle,497.54,402,Mixed,1035,2.14,40.85,4696.2
Board Meeting,Corporate Training,9,515,Hotel,Berlin,46,1.65,9,Bus,32.12,266,Vegetarian,515,18.64,36.27,1736.51
Atelier,Seminar,22,911,Office,Tokyo,39,0.63,22,Walking,1.96,433,Mixed,911,5.87,11.13,2581.77
Conférence,Conference,10,1616,Outdoor,Dubai,33,1.43,10,Bus,152.81,165,Non-Vegetarian,1616,6.7,10.55,7439.27
Conférence,Networking Event,23,1864,Convention Center,London,6,0.96,23,Bus,20.45,99,Mixed,1864,10.45,13.54,4895.69
Board Meeting,Seminar,45,180,Hotel,Sydney,7,1.08,45,Plane,126.91,216,Vegetarian,180,4.22,13.06,7327.8
Product Launch,Product Launch,43,1770,Outdoor,Berlin,21,1.28,43,Train,461.71,427,Non-Vegetarian,1770,13.31,37.14,14759.83
Conference,Networking Event,31,1401,Outdoor,London,31,0.85,31,Car,142.78,133,Vegetarian,1401,2.75,5.74,6514.75
Seminar,Product Launch,42,1671,Outdoor,New York,12,0.83,42,Train,213.26,380,Vegan,1671,1.71,25.12,5175.37
Réunion du Conseil,Conference,37,1517,Hotel,Dubai,6,0.36,37,Bicycle,470.07,45,Non-Vegetarian,1517,4.66,10.8,5380.38
Événement de Bienfaisance,Workshop,28,1554,Convention Center,Dubai,32,1.74,28,Bicycle,338.48,54,Non-Vegetarian,1554,5.54,43.02,6315.64
Réunion du Conseil,Trade Show,28,390,Hotel,London,33,0.91,28,Plane,95.17,14,Vegan,390,5.21,31.68,1217.3
Seminar,Team Building,34,839,Coworking Space,Tokyo,14,0.15,34,Walking,341.11,357,Mixed,839,11.62,7.07,2170.58
Trade Show,Networking Event,19,1857,Convention Center,London,7,1.42,19,Plane,296.39,233,Mixed,1857,12.68,27.39,22081.79
Networking,Trade Show,1,1279,Coworking Space,Berlin,9,1.01,1,Bus,25.22,233,Non-Vegetarian,1279,14.71,23.52,4910.08
Lancement de Produit,Board Meeting,12,1560,Outdoor,Tokyo,11,0.59,12,Walking,88.45,17,Mixed,1560,16.71,24.44,4021.24
Fundraiser,Board Meeting,34,1241,Hotel,Sydney,27,1.12,34,Bus,397.09,418,Vegetarian,1241,18.07,1.23,12373.2
Lancement de Produit,Seminar,2,1138,Coworking Space,Sydney,14,0.84,2,Bicycle,417.13,313,Vegetarian,1138,5.59,18.45,1766.84
Séminaire,Team Building,23,1365,Outdoor,Sydney,45,0.24,23,Train,492.4,264,Mixed,1365,3.58,22.4,8788.4
Lancement de Produit,Conference,8,1433,Office,Dubai,5,1.79,8,Train,442.36,67,Vegan,1433,8.08,40.17,2750.82
Formation,Product Launch,25,1607,Outdoor,New York,10,0.59,25,Plane,250.21,101,Mixed,1607,12.2,7.9,10449.25
Séminaire,Seminar,27,667,Convention Center,Berlin,28,1.87,27,Bicycle,497.86,452,Vegetarian,667,15.88,10.92,1760.96
Conférence,Team Building,37,574,Coworking Space,New York,6,0.12,37,Train,268.55,481,Non-Vegetarian,574,5.59,30.7,7261.8
Team Building,Board Meeting,15,1681,Office,Dubai,19,0.39,15,Bicycle,119.29,255,Non-Vegetarian,1681,14.44,3.63,5975.22
Séminaire,Product Launch,12,555,Convention Center,New York,38,0.55,12,Car,253.5,29,Vegan,555,13.15,21.26,2293.04
Événement de Bienfaisance,Corporate Training,13,434,Convention Center,Berlin,8,0.63,13,Walking,349.81,34,Vegetarian,434,19.61,7.4,737.78
Seminar,Corporate Training,29,1070,Outdoor,London,43,0.15,29,Plane,400.85,102,Vegetarian,1070,9.21,35.33,12009.28
Networking,Corporate Training,17,1689,Convention Center,New York,9,1.06,17,Plane,116.4,104,Vegetarian,1689,0.7,1.4,5645.19
Conférence,Corporate Training,14,1684,Office,New York,34,0.46,14,Bus,36.41,397,Vegetarian,1684,4.77,9.63,3531.57
Atelier,Conference,13,497,Convention Center,Dubai,10,0.31,13,Plane,93.23,262,Vegetarian,497,2.72,17.08,6911.82
Networking Event,Seminar,26,628,Office,Tokyo,10,0.54,26,Bus,259.01,153,Non-Vegetarian,628,4.25,9.17,4672.75
Réunion du Conseil,Corporate Training,26,1236,Convention Center,Paris,23,0.5,26,Plane,352.77,186,Non-Vegetarian,1236,8.54,47.59,20991.56
Événement de Bienfaisance,Team Building,16,1786,Convention Center,New York,8,0.32,16,Bus,470.08,114,Vegan,1786,17.53,35.69,5128.27
Événement de Bienfaisance,Networking Event,47,1980,Hotel,Tokyo,8,1.5,47,Plane,494.66,485,Vegetarian,1980,14.76,33.56,63326.17
Réunion du Conseil,Board Meeting,2,1135,Convention Center,New York,13,0.9,2,Bicycle,166.44,28,Vegan,1135,17.38,31.69,1244.84
Team Building,Seminar,8,1908,Outdoor,Berlin,49,1.08,8,Train,165.82,440,Non-Vegetarian,1908,1.77,19.25,9850.15
Lancement de Produit,Corporate Training,1,1314,Hotel,Dubai,17,0.81,1,Plane,175.21,73,Vegetarian,1314,12.99,40.88,5283.21
Networking,Conference,1,995,Convention Center,London,31,1.39,1,Train,441.82,21,Mixed,995,12.85,30.58,2967.03
Conférence,Trade Show,20,1009,Hotel,Berlin,15,1.84,20,Car,391.81,140,Mixed,1009,5.65,44.92,14418.85
Réunion du Conseil,Trade Show,30,1199,Hotel,Paris,41,1.08,30,Walking,326.54,345,Vegan,1199,2.22,47.17,1961.98
Atelier,Conference,1,1354,Office,Tokyo,48,1.45,1,Bicycle,499.66,128,Vegan,1354,5.46,43.09,1485.9
Workshop,Fundraiser,34,1890,Convention Center,New York,28,1.85,34,Plane,168.55,355,Vegetarian,1890,9.84,10.43,18714.95
Lancement de Produit,Networking Event,1,214,Coworking Space,Tokyo,24,1.66,1,Train,339.69,234,Vegan,214,3.77,17.44,3455.84
Product Launch,Workshop,18,638,Hotel,Dubai,22,0.96,18,Plane,9.48,454,Mixed,638,6.11,41.74,2956.76
Board Meeting,Board Meeting,20,1060,Hotel,Dubai,36,0.83,20,Walking,340.1,65,Vegan,1060,12.39,37.14,1457.86
Board Meeting,Seminar,35,1589,Coworking Space,New York,41,0.14,35,Plane,262.16,151,Mixed,1589,5.02,48.53,14076.59
Seminar,Seminar,40,1208,Hotel,Sydney,39,1.2,40,Car,323.11,263,Vegan,1208,11.59,7.95,20028.45
Trade Show,Workshop,16,1980,Office,London,29,1.34,16,Walking,482.92,198,Vegan,1980,2.9,32.56,2361.8
Séminaire,Product Launch,45,1308,Hotel,Sydney,42,1.28,45,Walking,253.39,371,Vegan,1308,12.53,49.47,2641.6
Board Meeting,Corporate Training,28,298,Convention Center,New York,48,1.67,28,Train,152.22,416,Vegan,298,4.74,28.75,4020.16
Conférence,Conference,14,352,Hotel,London,25,0.69,14,Bus,64.12,278,Mixed,352,8.57,21.89,2131.19
Product Launch,Team Building,35,1272,Convention Center,Sydney,21,0.35,35,Car,456.75,33,Non-Vegetarian,1272,9.45,34.76,7834.32
Lancement de Produit,Seminar,1,24,Convention Center,London,38,1.63,1,Bicycle,141.98,350,Mixed,24,12.38,8.23,132.19
Team Building,Board Meeting,39,709,Outdoor,Sydney,30,0.55,39,Car,324.96,310,Vegetarian,709,19.55,29.38,22638.01
Board Meeting,Board Meeting,35,696,Office,New York,41,0.37,35,Bus,432.95,489,Vegan,696,8.76,43.42,13768.59
Atelier,Team Building,13,1477,Outdoor,New York,40,1.19,13,Bus,94.76,384,Non-Vegetarian,1477,18.55,3.83,7706.93
Réunion du Conseil,Fundraiser,37,37,Outdoor,Dubai,29,1.78,37,Bus,346.29,244,Non-Vegetarian,37,16.05,39.55,6265.36
Networking Event,Workshop,23,190,Coworking Space,Berlin,22,1.47,23,Train,283.02,159,Vegetarian,190,7.19,16.69,2504.68
Conference,Conference,6,1352,Convention Center,Paris,50,1.48,6,Car,496.89,347,Mixed,1352,10.59,7.85,39847.25
Événement de Bienfaisance,Corporate Training,4,1188,Coworking Space,New York,33,1.32,4,Plane,153.7,318,Vegan,1188,1.15,19.98,13536.53
Événement de Bienfaisance,Conference,22,1538,Outdoor,Sydney,36,0.71,22,Train,352.72,122,Vegetarian,1538,7.1,48.43,4420.49
Conférence,Seminar,47,1788,Outdoor,Sydney,43,0.1,47,Bicycle,51.67,299,Non-Vegetarian,1788,15.56,45.16,6480.49
Atelier,Fundraiser,22,1758,Office,Dubai,27,1.61,22,Train,4.43,247,Vegan,1758,0.85,4.66,2290.96
Trade Show,Networking Event,23,1250,Convention Center,New York,9,0.57,23,Bicycle,241.41,355,Mixed,1250,12.56,29.97,3269.05
Corporate Training,Workshop,5,1990,Office,Dubai,24,0.51,5,Train,231.36,353,Mixed,1990,7.47,15.74,8318.82
Workshop,Networking Event,28,225,Office,London,39,1.51,28,Car,433.12,240,Non-Vegetarian,225,13.83,3.9,23476.67
Workshop,Workshop,44,802,Office,New York,50,1.57,44,Walking,152.84,457,Vegan,802,2.93,4.5,2543.86
Conference,Product Launch,28,1284,Convention Center,Dubai,44,1.45,28,Car,325.3,67,Mixed,1284,0.63,15.63,8712.69
Trade Show,Networking Event,21,1352,Coworking Space,New York,35,0.96,21,Plane,150.92,222,Mixed,1352,11.16,39.82,12210.82
Corporate Training,Corporate Training,33,564,Outdoor,Paris,48,0.32,33,Bicycle,291.74,62,Vegan,564,16.0,19.22,887.88
Formation,Corporate Training,16,458,Office,Dubai,39,1.53,16,Car,150.18,82,Vegetarian,458,9.19,14.32,3797.48
Lancement de Produit,Fundraiser,33,769,Hotel,Berlin,38,1.25,33,Bicycle,96.5,167,Vegan,769,4.96,32.89,1628.45
Réunion du Conseil,Board Meeting,48,372,Hotel,Tokyo,40,1.24,48,Plane,69.12,431,Non-Vegetarian,372,1.6,49.16,10041.6
Board Meeting,Trade Show,8,235,Coworking Space,Sydney,36,1.11,8,Walking,163.28,153,Mixed,235,11.22,31.93,833.64
Événement de Bienfaisance,Conference,13,1699,Hotel,Sydney,46,1.79,13,Train,244.5,375,Non-Vegetarian,1699,8.79,1.59,10169.97
Réunion du Conseil,Product Launch,32,1470,Coworking Space,London,16,1.48,32,Walking,414.4,230,Vegan,1470,19.48,15.29,1918.42
Séminaire,Product Launch,41,1320,Office,New York,15,1.36,41,Plane,437.09,489,Vegan,1320,9.33,16.85,55224.81
Corporate Training,Networking Event,3,353,Hotel,Dubai,45,1.63,3,Plane,403.87,315,Mixed,353,2.62,23.15,32848.83
Conference,Workshop,36,1924,Coworking Space,Sydney,44,1.62,36,Train,344.98,402,Vegetarian,1924,12.53,13.14,9767.66
Conference,Product Launch,11,1602,Outdoor,Berlin,12,1.82,11,Train,122.74,287,Vegan,1602,11.17,3.01,3159.54
Fundraiser,Product Launch,14,1523,Office,Tokyo,15,1.69,14,Train,367.39,12,Mixed,1523,15.9,32.26,4257.62
Événement de Bienfaisance,Board Meeting,17,1971,Outdoor,Sydney,40,1.72,17,Bicycle,65.37,417,Vegan,1971,17.25,44.67,2679.64
Team Building,Networking Event,41,1109,Convention Center,Berlin,38,1.57,41,Bus,424.55,217,Vegan,1109,14.5,46.62,7981.91
Conference,Trade Show,27,57,Coworking Space,Paris,16,1.91,27,Plane,266.99,134,Vegetarian,57,18.7,49.05,9577.73
Product Launch,Trade Show,7,1562,Outdoor,London,21,0.73,7,Walking,228.7,245,Vegan,1562,7.88,17.44,1666.3
Board Meeting,Corporate Training,34,1298,Hotel,Tokyo,46,1.28,34,Bus,416.28,273,Mixed,1298,9.51,26.9,11137.45
Conference,Trade Show,23,144,Hotel,Sydney,41,0.85,23,Car,357.11,409,Vegan,144,14.89,14.05,31274.83
Conference,Workshop,9,665,Coworking Space,Dubai,48,1.46,9,Bus,95.16,336,Non-Vegetarian,665,18.0,31.82,4660.93
Fundraiser,Product Launch,33,645,Outdoor,Tokyo,17,1.75,33,Walking,224.67,326,Mixed,645,9.5,5.85,2134.07
Fundraiser,Team Building,23,1553,Outdoor,London,39,0.11,23,Walking,113.56,87,Non-Vegetarian,1553,9.26,39.36,5582.07
Seminar,Conference,27,981,Coworking Space,Dubai,48,0.39,27,Bus,35.45,198,Vegetarian,981,12.9,18.99,2209.15
Événement de Bienfaisance,Seminar,18,1172,Convention Center,Berlin,20,0.7,18,Car,398.77,473,Non-Vegetarian,1172,16.31,38.81,43948.06
Networking Event,Product Launch,7,821,Outdoor,Dubai,34,1.27,7,Car,152.59,346,Vegan,821,5.42,25.76,12121.68
Networking,Seminar,22,1394,Convention Center,Berlin,8,1.21,22,Walking,60.96,200,Non-Vegetarian,1394,8.13,6.46,5014.66
Fundraiser,Workshop,33,1561,Coworking Space,Berlin,40,0.67,33,Walking,156.68,121,Non-Vegetarian,1561,10.45,30.45,5987.5
Formation,Seminar,13,1957,Office,Sydney,30,1.34,13,Train,289.04,73,Mixed,1957,18.69,33.27,6101.72
Fundraiser,Board Meeting,1,1448,Outdoor,London,21,1.86,1,Bus,180.23,385,Non-Vegetarian,1448,8.63,42.37,9352.84
Réunion du Conseil,Conference,24,1749,Convention Center,New York,27,0.46,24,Bus,46.78,311,Vegetarian,1749,9.8,16.3,3697.65
Conference,Workshop,29,269,Coworking Space,Paris,18,0.84,29,Car,355.92,241,Non-Vegetarian,269,12.36,48.89,19296.35
Networking,Corporate Training,6,1682,Convention Center,New York,34,1.66,6,Car,459.27,16,Vegetarian,1682,1.81,32.31,4303.71
Fundraiser,Conference,30,162,Coworking Space,Tokyo,22,1.85,30,Bus,366.35,407,Mixed,162,8.41,48.31,10075.21
Networking,Product Launch,44,1972,Outdoor,New York,28,0.78,44,Train,344.96,381,Mixed,1972,18.44,31.39,10767.33
Corporate Training,Corporate Training,31,233,Hotel,Tokyo,6,1.52,31,Train,310.1,369,Vegetarian,233,17.46,23.15,5149.16
Networking,Networking Event,16,207,Coworking Space,Berlin,42,1.79,16,Train,317.9,483,Mixed,207,6.42,34.22,7342.05
Product Launch,Fundraiser,24,489,Coworking Space,London,35,1.73,24,Plane,407.75,433,Mixed,489,11.07,12.55,46135.28
Atelier,Product Launch,25,1054,Coworking Space,London,22,0.2,25,Car,330.23,273,Non-Vegetarian,1054,14.51,10.23,22725.57
Formation,Corporate Training,41,1720,Convention Center,New York,46,0.14,41,Car,307.39,273,Vegan,1720,11.25,33.38,19563.95
Conference,Conference,6,1537,Outdoor,Sydney,38,0.4,6,Bus,339.81,126,Vegetarian,1537,13.95,16.56,4981.08
Séminaire,Trade Show,38,1707,Office,Sydney,47,0.71,38,Train,478.13,213,Non-Vegetarian,1707,11.48,11.44,10728.04
Conference,Workshop,7,636,Office,Sydney,27,1.67,7,Car,212.62,375,Vegan,636,5.07,37.74,17623.26
Workshop,Conference,19,296,Hotel,Dubai,48,0.72,19,Plane,315.15,212,Vegetarian,296,6.93,47.98,17585.09
Fundraiser,Team Building,15,1186,Outdoor,New York,15,0.68,15,Bus,320.68,344,Vegetarian,1186,5.01,24.21,8532.78
Workshop,Team Building,30,46,Office,Sydney,13,1.23,30,Bicycle,420.42,139,Mixed,46,12.66,34.89,449.95
Trade Show,Board Meeting,21,101,Office,London,49,0.42,21,Bicycle,74.42,413,Vegan,101,5.63,48.95,426.25
Lancement de Produit,Networking Event,48,663,Hotel,New York,6,0.19,48,Plane,483.26,202,Non-Vegetarian,663,19.0,49.85,26890.19
Conférence,Networking Event,17,855,Convention Center,Paris,25,0.46,17,Plane,131.34,481,Vegetarian,855,3.5,32.85,17246.59
Atelier,Seminar,24,277,Office,New York,42,0.61,24,Bus,293.47,218,Non-Vegetarian,277,13.3,18.7,5179.53
Séminaire,Seminar,40,1207,Outdoor,New York,24,0.74,40,Walking,117.13,90,Non-Vegetarian,1207,16.74,28.87,4670.92
Networking Event,Fundraiser,37,1071,Hotel,Dubai,34,0.19,37,Car,337.96,260,Vegetarian,1071,1.09,22.97,20226.75
Seminar,Board Meeting,18,1539,Outdoor,Tokyo,36,0.66,18,Bicycle,341.13,181,Non-Vegetarian,1539,0.97,47.94,5698.16
Formation,Trade Show,4,1763,Coworking Space,Dubai,49,1.11,4,Plane,133.25,22,Non-Vegetarian,1763,3.26,46.43,7111.53
Networking,Workshop,7,1773,Coworking Space,Sydney,35,1.67,7,Bicycle,210.39,260,Non-Vegetarian,1773,11.56,5.63,6444.45
Board Meeting,Trade Show,32,166,Hotel,Dubai,13,0.68,32,Car,304.16,14,Non-Vegetarian,166,1.0,46.62,1711.91
Seminar,Corporate Training,19,1082,Outdoor,Sydney,38,1.97,19,Car,360.53,36,Vegan,1082,5.03,19.69,4568.22
Séminaire,Conference,9,1034,Office,Paris,9,0.89,9,Car,433.68,481,Vegetarian,1034,12.24,11.32,45440.18
Lancement de Produit,Product Launch,4,95,Convention Center,Dubai,27,0.44,4,Walking,268.09,203,Vegetarian,95,17.57,38.23,277.86
Fundraiser,Trade Show,41,917,Convention Center,Berlin,26,0.8,41,Walking,245.06,218,Vegetarian,917,7.4,23.51,1863.72
Product Launch,Board Meeting,36,225,Convention Center,New York,16,1.91,36,Train,326.11,282,Vegetarian,225,19.41,1.19,4607.3
Lancement de Produit,Workshop,32,1786,Hotel,Sydney,13,1.75,32,Walking,80.37,203,Vegan,1786,6.85,16.92,2197.54
Conférence,Networking Event,19,2000,Convention Center,Sydney,17,0.27,19,Plane,446.93,378,Mixed,2000,17.83,7.9,47329.95
Board Meeting,Seminar,24,1776,Outdoor,New York,49,1.48,24,Car,149.5,468,Mixed,1776,8.05,40.55,20100.3
Workshop,Seminar,40,507,Convention Center,London,11,0.45,40,Bicycle,350.05,137,Mixed,507,12.0,30.88,1452.26
Team Building,Trade Show,21,639,Office,London,32,1.62,21,Bus,167.23,434,Vegetarian,639,13.16,2.43,5888.67
Lancement de Produit,Networking Event,14,523,Office,Tokyo,8,0.77,14,Walking,320.09,123,Vegan,523,18.3,40.59,683.9
Séminaire,Seminar,33,1414,Coworking Space,Tokyo,37,0.56,33,Walking,51.07,349,Non-Vegetarian,1414,2.64,38.32,5372.8
Board Meeting,Board Meeting,40,704,Hotel,New York,46,1.93,40,Bicycle,285.48,395,Vegetarian,704,3.57,28.92,2896.58
Board Meeting,Seminar,4,100,Convention Center,Tokyo,45,1.45,4,Car,258.86,463,Vegan,100,2.23,20.1,25444.12
Networking Event,Seminar,13,625,Hotel,Paris,11,1.58,13,Plane,113.09,498,Vegetarian,625,6.57,33.51,15210.33
Conférence,Product Launch,39,643,Outdoor,Dubai,30,0.55,39,Plane,73.06,342,Non-Vegetarian,643,1.28,26.95,8875.34
Seminar,Fundraiser,25,1675,Hotel,Sydney,47,0.25,25,Car,125.33,478,Mixed,1675,6.62,2.13,16932.5
Atelier,Seminar,31,1271,Hotel,Berlin,8,0.25,31,Car,95.26,360,Mixed,1271,5.61,20.36,10462.1
Événement de Bienfaisance,Conference,4,339,Office,New York,50,1.55,4,Car,218.16,402,Vegetarian,339,4.02,33.97,19156.55
Formation,Conference,47,17,Coworking Space,Paris,42,1.04,47,Car,136.0,98,Vegan,17,5.57,4.8,3863.1
Product Launch,Trade Show,43,968,Hotel,London,45,0.66,43,Bicycle,416.09,210,Vegan,968,18.9,20.63,1685.61
Networking,Seminar,3,1145,Coworking Space,Tokyo,45,0.29,3,Train,498.48,90,Mixed,1145,10.28,44.66,4786.48
Corporate Training,Fundraiser,44,1735,Hotel,Sydney,6,1.24,44,Train,49.75,256,Vegetarian,1735,13.68,41.7,3386.38
Conférence,Networking Event,43,343,Outdoor,Tokyo,17,1.98,43,Bus,149.25,18,Non-Vegetarian,343,1.44,2.73,2093.72
Corporate Training,Conference,13,1667,Hotel,Tokyo,9,0.11,13,Bicycle,60.39,386,Vegan,1667,16.17,5.83,1717.43
Networking Event,Networking Event,24,729,Hotel,Paris,15,0.9,24,Train,173.4,263,Mixed,729,14.43,24.17,3885.87
Seminar,Workshop,44,1622,Coworking Space,Berlin,5,0.77,44,Car,332.86,69,Vegetarian,1622,10.2,4.44,7370.12
Séminaire,Networking Event,47,1638,Outdoor,New York,11,0.2,47,Bicycle,250.24,480,Vegetarian,1638,15.31,9.79,2558.9
Atelier,Conference,24,1567,Hotel,London,25,0.9,24,Bicycle,189.52,345,Vegetarian,1567,17.84,37.16,2730.5
Atelier,Networking Event,27,360,Convention Center,Paris,44,0.37,27,Walking,253.37,357,Mixed,360,4.21,27.2,1182.6
Corporate Training,Workshop,16,298,Outdoor,Sydney,23,1.86,16,Walking,302.57,269,Vegetarian,298,11.39,13.84,839.7
Networking Event,Networking Event,24,81,Convention Center,Dubai,35,1.28,24,Plane,290.27,453,Non-Vegetarian,81,2.53,10.37,33719.98
Séminaire,Board Meeting,1,1723,Outdoor,Tokyo,15,1.24,1,Bus,250.09,239,Mixed,1723,9.35,36.24,7994.27
Séminaire,Trade Show,45,125,Office,New York,47,1.63,45,Bicycle,359.45,430,Non-Vegetarian,125,10.94,36.99,2257.09
Lancement de Produit,Fundraiser,30,1235,Hotel,Tokyo,44,1.2,30,Car,147.47,69,Vegetarian,1235,10.84,42.17,4887.36
Team Building,Conference,41,1931,Convention Center,Tokyo,47,0.26,41,Train,359.42,177,Mixed,1931,8.09,1.71,7642.3
Board Meeting,Team Building,17,1000,Outdoor,New York,36,1.53,17,Walking,452.53,259,Vegetarian,1000,16.97,27.22,2056.56
Product Launch,Networking Event,35,1830,Convention Center,Paris,17,1.27,35,Plane,452.48,62,Non-Vegetarian,1830,14.98,47.06,13920.34
Team Building,Product Launch,13,62,Outdoor,London,46,1.77,13,Plane,412.92,327,Non-Vegetarian,62,16.23,9.41,34553.72
Workshop,Networking Event,16,1930,Office,Sydney,26,0.65,16,Walking,200.0,266,Mixed,1930,4.31,4.84,4978.5
Atelier,Seminar,48,1983,Office,New York,32,1.98,48,Plane,159.95,395,Mixed,1983,8.66,22.07,22334.66
Trade Show,Seminar,23,1698,Office,Berlin,9,1.98,23,Plane,477.04,437,Mixed,1698,12.09,27.6,56645.93
Team Building,Board Meeting,42,193,Convention Center,Tokyo,21,0.4,42,Train,469.54,338,Non-Vegetarian,193,3.78,25.38,7258.4
Lancement de Produit,Trade Show,47,806,Coworking Space,Tokyo,31,1.57,47,Train,251.78,351,Mixed,806,7.76,13.0,6735.26
